Geography,Total - Private households,Median 2005 household income $,Median 2005 after-tax household income $,Average 2005 household income $,Standard error of average household income $,Average 2005 after-tax household income $,Standard error of average after-tax household income $
Orillia (3543052) CY 01000,12220,46722,41569,57333,788,49096,617
Wasaga Beach (3543064) T 01100,6240,54181,47262,61676,1095,52420,846
Tiny (3543068) TP 01110,4335,61760,51689,76058,3573,62275,2556
Christian Island 30 (3543069) IRI 00000,190,26304,25664,31074,0,30816,0
Tay (3543071) TP 01000,3840,54029,47458,60853,1374,51907,1036
Penetanguishene (3543072) T 00000,3490,51666,45336,61476,1728,52108,1275
Midland (3543074) T 01110,6890,45256,40325,56035,1201,47548,861
Muskoka (3544)   21010,23160,52790,45980,66326,871,55038,597
Gravenhurst (3544002) T 01000,4430,45962,41240,56332,1366,47995,1062
Bracebridge (3544018) T 02020,6235,59193,51327,70185,1482,58200,1057
Lake of Bays (3544027) TP 02020,1545,54821,46328,72838,4654,58780,2880
Huntsville (3544042) T 01000,7180,52331,45948,66782,1590,55751,1114
Muskoka Lakes (3544053) TP 02010,2675,55835,47384,74470,3727,59707,2318
Georgian Bay (3544065) TP 02020,1025,40165,37893,53713,3017,44732,2155
Moose Point 79 (3544073) IRI 00000,0,0,0,0,0,0,0
Haliburton (3546)   01010,6975,45198,40321,54695,1212,46270,846
Highlands East (3546005) MU 01020,1375,38491,34855,47161,2583,40382,1757
Minden Hills (3546015) TP 01010,2385,48739,43602,54292,1657,46835,1279
Algonquin Highlands (3546018) TP 02020,870,47450,42531,56309,2519,48118,1970
Dysart and Others (3546024) TP 01010,2345,45186,40971,58910,2603,48453,1719
Renfrew (3547)   01010,39240,52450,45726,59916,447,51004,340
Arnprior (3547002) T 00000,3160,46436,40212,55555,1420,47369,1115
McNab/Braeside (3547003) TP 00000,2690,66049,56563,75215,1856,62594,1375
Greater Madawaska (3547008) TP 02010,1200,52286,44523,60943,3426,51327,2458
"Brudenell, Lyndoch and Raglan (3547020) TP 01000",610,35637,33467,40159,2237,36314,1912
Madawaska Valley (3547030) TP 01010,1710,39211,35421,48815,1758,42883,1411
"Killaloe, Hagarty and Richards (3547033) TP 01010",1040,37157,33633,44106,1809,39172,1518
Bonnechere Valley (3547035) TP 01010,1580,42856,38700,52661,2057,45479,1595
Pikwakanagan (Golden Lake 39) (3547037) IRI 01020,160,28032,26176,33583,0,32045,0
Admaston/Bromley (3547043) TP 01000,990,46504,41631,55956,2191,48700,1720
Horton (3547046) TP 00000,1055,55546,48874,63818,2320,53939,1800
Renfrew (3547048) T 00000,3550,39511,36129,49616,1230,42653,955
Whitewater Region (3547056) TP 00000,2585,52704,46844,59258,1738,50607,1307
Pembroke (3547064) CY 01010,6010,40560,36840,52025,1383,44701,1046
North Algona Wilberforce (3547070) TP 01000,1155,50038,45145,55130,1977,47901,1538
Laurentian Valley (3547075) TP 00000,3395,63514,54613,70598,1651,59421,1209
Petawawa (3547076) T 01020,5330,65096,55264,70502,1090,59687,832
Laurentian Hills (3547090) T 00000,1135,61977,52920,66370,2223,56386,1745
Deep River (3547096) T 00000,1785,68889,56535,75254,2139,61492,1603
"Head, Clara and Maria (3547098) TP 02020",0,0,0,0,0,0,0
Nipissing (3548)   21010,35140,46788,41665,58119,520,49314,381
South Algonquin (3548001) TP 01010,570,49427,43129,56044,5333,47145,3420
Papineau-Cameron (3548013) TP 01020,415,48560,41751,44348,3121,39156,2749
Mattawan (3548019) TP 02020,0,0,0,0,0,0,0
Mattawa (3548021) T 00000,865,31277,29652,43833,2739,38744,2086
Calvin (3548022) TP 01000,220,47498,41866,49550,3434,43998,2862
Bonfield (3548027) TP 01010,770,51826,47484,59007,2953,50655,2217
Chisholm (3548031) TP 01020,505,49519,43072,58022,2303,50185,1870
East Ferris (3548034) TP 01100,1550,66602,55252,72027,2579,60486,1974
North Bay (3548044) CY 01010,22650,46628,41446,59525,734,50072,528
West Nipissing / Nipissing Ouest (3548055) M 01001,5580,42548,38949,52755,1091,45765,856
Temagami (3548069) MU 01010,405,39251,35588,45074,3156,39460,2540
Nipissing 10 (3548073) IRI 01021,560,35597,34391,44765,791,40890,675
"Nipissing, Unorganized, North Part (3548094) NO 01011",730,53506,45750,58728,2739,50370,2174
Parry Sound (3549)   01010,17195,46180,41079,60267,3460,50458,2264
Seguin (3549003) TP 02020,1730,53008,46917,99336,36356,76173,23644
The Archipelago (3549005) TP 02020,255,40509,35644,41172,3663,36796,2991
McMurrich/Monteith (3549012) TP 01010,340,33298,30601,43627,3196,38506,2561
Perry (3549014) TP 01010,845,43264,39756,51550,2463,44805,1920
Kearney (3549018) T 01000,360,45338,39716,48485,3144,41479,2566
Armour (3549019) TP 01010,545,39826,35164,50849,3283,43608,2475
Burk's Falls (3549022) VL 01000,425,34457,31245,38625,2509,34280,2046
Ryerson (3549024) TP 01020,295,44353,39223,54532,10219,44652,9008
McKellar (3549028) TP 01010,480,46696,41289,58772,6348,48730,4383
McDougall (3549031) MU 01010,1010,66524,57334,76073,3375,63617,2561
Parry Sound (3549032) T 00000,2515,40336,36650,53985,2183,45786,1525
Carling (3549036) TP 02010,485,69265,58682,74065,4384,61840,3386
Whitestone (3549039) MU 02010,470,46353,37036,51585,3390,44415,2718
Magnetawan (3549043) MU 01020,705,43551,39142,51201,2943,44695,2360
Strong (3549046) TP 00000,545,42349,37915,53356,3132,45455,2468
Sundridge (3549048) VL 00000,430,38709,34560,51808,4345,44658,3370
Joly (3549051) TP 00010,115,32442,29502,37774,4084,34526,3350
Machar (3549054) TP 01000,375,56724,48483,60124,3945,50121,2784
South River (3549056) VL 00000,455,37115,34278,43404,3084,38285,2446
Powassan (3549060) MU 00000,1245,48693,43286,56010,2485,48352,1917
Callander (3549066) MU 00100,1300,65897,56720,77936,3507,63862,2399
Nipissing (3549071) TP 01100,660,52340,48143,61702,4220,51915,2941
Shawanaga 17 (3549072) IRI 01010,0,0,0,0,0,0,0
Parry Island First Nation (3549073) IRI 02020,130,35328,34176,39767,0,37418,0
French River 13 (3549076) IRI 00000,0,0,0,0,0,0,0
Dokis 9 (3549077) IRI 00010,0,0,0,0,0,0,0
Magnetewan 1 (3549078) IRI 02020,0,0,0,0,0,0,0
"Parry Sound, Unorganized, North East Part (3549095) NO 01000",0,0,0,0,0,0,0
"Parry Sound, Unorganized, Centre Part (3549096) NO 01000",1125,36953,34522,46039,2856,39556,2109
Manitoulin (3551)   01010,5470,39645,36298,48091,625,42338,485
Tehkummah (3551001) TP 00010,180,35061,31837,44499,5325,39608,4420
Central Manitoulin (3551006) TP 00000,855,47148,41447,55702,2463,48065,1905
Assiginack (3551011) TP 01020,390,51039,48571,59209,4146,50807,3332
Northeastern Manitoulin and the Islands (3551017) T 01010,1150,44097,39525,57527,2987,48602,2210
Billings (3551021) TP 01000,235,42733,38989,52513,4024,45120,3173
Gordon (3551024) TP 00010,175,48521,46889,48832,4380,43234,3666
Gore Bay (3551026) T 00000,415,46305,42607,56766,5230,47514,3490
Burpee and Mills (3551028) TP 01010,140,38468,34213,34102,6227,29577,5286
Barrie Island (3551031) TP 02020,0,0,0,0,0,0,0
Killarney (3551036) MU 02010,205,50960,43349,57409,6082,48682,4536
Whitefish River (Part) 4 (3551040) IRI 02020,145,27520,27520,36165,0,35117,0
Sucker Creek 23 (3551041) IRI 01010,115,34496,34368,39978,0,38999,0
Sheguiandah 24 (3551042) IRI 00000,0,0,0,0,0,0,0
Wikwemikong Unceded (3551043) IRI 01010,890,26539,26368,31935,0,31368,0
Sheshegwaning 20 (3551044) IRI 00000,0,0,0,0,0,0,0
M'Chigeeng 22 (West Bay 22) (3551045) IRI 01020,315,22720,22208,30281,0,29693,0
Zhiibaahaasing 19A (Cockburn Island 19A) (3551100) IRI 02020,0,0,0,0,0,0,0
Sudbury (3552)   01010,8855,48092,42374,58240,1014,49218,714
French River / Rivière des Français (3552001) M 01010,1190,43739,40490,60561,5287,49671,3153
St.-Charles (3552004) MU 01000,500,45024,40157,52400,3085,44804,2314
Markstay-Warren (3552013) MU 00000,1005,44468,40738,52341,2281,45046,1814
Sables-Spanish Rivers (3552023) TP 01000,1295,40527,36845,49836,1986,43131,1589
Espanola (3552026) T 00000,2220,53465,45674,62918,1973,52775,1508
Baldwin (3552028) TP 00000,215,44875,39605,50456,5887,43088,4566
Nairn and Hyman (3552031) TP 01010,195,45776,41424,54641,4492,46867,3487
Whitefish Lake 6 (3552051) IRI 02010,115,35712,32896,41710,0,38826,0
Mattagami 71 (3552052) IRI 01010,0,0,0,0,0,0,0
Duck Lake 76B (3552054) IRI 01020,0,0,0,0,0,0,0
Chapleau 75 (3552058) IRI 01010,0,0,0,0,0,0,0
Chapleau (3552092) TP 01000,940,58763,53435,66040,2687,55608,2087
"Sudbury, Unorganized, North Part (3552093) NO 01010",1045,49690,44704,63793,2945,53185,2157
Greater Sudbury / Grand Sudbury (3553)   00010,64960,55008,47588,68117,530,56245,360
Greater Sudbury / Grand Sudbury (3553005) C 00010,64945,55019,47593,68126,530,56251,361
Wahnapitei 11 (3553040) IRI 00000,0,0,0,0,0,0,0
Timiskaming (3554)   01010,14235,43491,39310,54832,830,46784,599
Coleman (3554001) TP 01120,175,42143,38688,45141,3459,39815,2839
Latchford (3554006) T 01111,190,44671,38076,48713,4650,42828,3501
Cobalt (3554008) T 01110,530,31470,30575,39612,2597,35704,2171
Harris (3554014) TP 00000,200,76221,62844,74490,5260,63672,4148
Temiskaming Shores (3554020) CY 01101,4490,49511,43458,59762,1562,50711,1149
Hudson (3554021) TP 00100,115,40191,36864,50211,4616,44476,3698
Kerns (3554024) TP 00000,120,51001,44280,52335,4787,46213,3960
Harley (3554026) TP 01010,205,54832,46128,59295,4929,50609,3811
Casey (3554029) TP 00000,135,79113,66825,76000,6690,65537,5446
Brethour (3554032) TP 00010,0,0,0,0,0,0,0
Hilliard (3554034) TP 00000,0,0,0,0,0,0,0
Armstrong (3554036) TP 00010,465,47469,42855,57008,4668,49341,3506
Thornloe (3554038) VL 02020,0,0,0,0,0,0,0
James (3554042) TP 01000,180,54146,47143,56217,6622,46831,4941
Charlton and Dack (3554044) MU 00001,225,56945,50005,62647,6225,53140,4834
Evanturel (3554049) TP 00000,180,54352,45086,58558,6868,50065,5310
Englehart (3554052) T 00010,655,37994,34960,49389,2931,42369,2325
Chamberlain (3554054) TP 00000,140,41443,36579,43727,5858,37373,4719
Matachewan 72 (3554057) IRI 01020,0,0,0,0,0,0,0
McGarry (3554058) TP 01000,325,27830,27707,34818,2933,31833,2372
Larder Lake (3554062) TP 01000,350,38775,36368,49090,3856,41928,2993
Gauthier (3554066) TP 00000,0,0,0,0,0,0,0
Kirkland Lake (3554068) T 00000,3765,37342,34315,50767,1454,43309,1095
"Timiskaming, Unorganized, West Part (3554094) NO 01121",1360,47306,41966,62831,3924,51924,2444
Cochrane (3556)   21010,33335,53691,46834,63642,543,53270,390
Black River-Matheson (3556014) TP 01001,1075,54794,46477,56496,2304,48215,1821
Timmins (3556027) CY 01010,17390,55623,48526,66926,931,55468,648
Iroquois Falls (3556031) T 00000,2020,56160,49765,63757,2199,53355,1585
Abitibi 70 (3556033) IRI 00010,0,0,0,0,0,0,0
Cochrane (3556042) T 00000,2280,48286,41822,56854,1849,48068,1388
Smooth Rock Falls (3556048) T 00010,655,56844,47119,66336,3130,56039,2491
Fauquier-Strickland (3556052) TP 01000,260,64926,51644,65168,4834,53840,3686
Moonbeam (3556056) TP 02010,540,55093,45769,64155,3678,53628,2786
Kapuskasing (3556066) T 00000,3745,48857,42648,60091,1629,50244,1221
Val Rita-Harty (3556070) TP 00000,355,53125,42942,57832,3902,49710,3261
Opasatika (3556073) TP 01000,110,60967,48423,58811,6846,50148,5491
Hearst (3556076) T 01000,2400,56897,48098,64244,1948,53720,1494
Mattice-Val Côté (3556077) TP 01000,315,51703,43698,54446,4032,47013,3261
"Cochrane, Unorganized, North Part (3556092) NO 01201",975,54986,48863,62474,2399,53135,1842
Constance Lake 92 (3556095) IRI 00000,190,36147,35968,45056,0,44384,0
New Post 69A (3556102) IRI 02020,0,0,0,0,0,0,0
Algoma (3557)   01010,50010,47567,42113,59829,517,50670,377
Jocelyn (3557001) TP 01010,125,44081,40240,65633,9498,54615,6675
Hilton (3557004) TP 01020,0,0,0,0,0,0,0
Hilton Beach (3557006) VL 00000,0,0,0,0,0,0,0
St. Joseph (3557008) TP 00000,485,53177,46294,65023,4153,54185,3092
Laird (3557011) TP 01010,430,69862,58383,74778,4894,61459,3653
Tarbutt and Tarbutt Additional (3557014) TP 01010,145,55009,47329,64020,5025,54759,3812
Johnson (3557016) TP 01000,260,48771,45682,48801,3859,42515,3119
Plummer Additional (3557019) TP 01000,260,52582,46359,50899,3850,43849,2924
Bruce Mines (3557021) T 01020,245,50024,44392,55002,4195,47994,3187
Thessalon 12 (3557026) IRI 01010,0,0,0,0,0,0,0
Thessalon (3557028) T 01000,525,48768,42067,53876,3586,46291,2829
Huron Shores (3557035) MU 01000,695,44422,40207,53088,2942,45875,2277
Blind River (3557038) T 00010,1610,46713,40944,63072,2899,53466,2212
Spanish (3557039) T 01010,325,34417,32400,40602,3217,36842,2707
North Shore (3557040) TP 00000,250,45809,43079,65400,6761,55255,5078
Elliot Lake (3557041) CY 01010,5650,36366,33872,45891,982,40209,749
"Macdonald, Meredith and Aberdeen Additional (3557051) TP 01010",605,52189,45669,60374,3070,51031,2388
Sault Ste. Marie (3557061) CY 01010,31755,49590,43515,62568,789,52615,567
Prince (3557066) TP 01010,365,68834,59861,84442,5461,69923,4265
Sagamok (3557071) IRI 00000,290,26048,25152,30091,0,29454,0
Serpent River 7 (3557072) IRI 00010,135,28672,28416,35327,0,33218,0
Mississagi River 8 (3557073) IRI 00000,155,30464,30144,35367,0,33870,0
Garden River 14 (3557074) IRI 01000,355,32064,30912,36793,0,35542,0
Rankin Location 15D (3557075) IRI 02020,205,30848,30848,35097,0,33459,0
Michipicoten (3557076) TP 00010,1295,58771,50887,68396,2714,57279,2069
Goulais Bay 15A (3557077) IRI 02020,0,0,0,0,0,0,0
Gros Cap 49 (3557078) IRI 00000,0,0,0,0,0,0,0
Dubreuilville (3557079) TP 01010,285,77805,62650,83625,6568,67756,4561
White River (3557091) TP 01000,355,57297,47600,65830,4861,54870,3920
"Algoma, Unorganized, North Part (3557095) NO 02020",2415,47422,41126,55624,1535,47415,1193
Hornepayne (3557096) TP 01010,480,68217,57580,77759,4168,65295,3378
Thunder Bay (3558)   01010,61840,54893,47597,65503,405,54837,295
Neebing (3558001) MU 02020,820,70139,56654,77369,4723,63333,3223
Fort William 52 (3558003) IRI 01010,315,32448,31936,42372,0,39264,0
Thunder Bay (3558004) CY 01010,46265,52223,45486,63031,492,53014,365
Oliver Paipoonge (3558011) MU 01000,2060,74455,62871,86556,3699,70764,2334
Gillies (3558012) TP 01010,210,67544,58451,59311,4648,50159,3619
O'Connor (3558016) TP 01010,265,74233,62520,80278,5522,67399,4259
Conmee (3558019) TP 00010,265,58301,49502,60665,3723,50889,2940
Shuniah (3558028) TP 02010,1225,61970,53507,77120,3985,62863,2830
Dorion (3558034) TP 00010,150,59195,54276,72848,6871,61314,5492
Red Rock (3558041) TP 00000,435,63036,53917,72841,4817,59994,3662
Nipigon (3558044) TP 00010,740,49163,42741,59168,2848,50488,2176
Schreiber (3558051) TP 01010,400,46680,42513,63367,3892,54635,3292
Terrace Bay (3558054) TP 00000,690,80240,63387,85274,3934,69464,3069
Marathon (3558059) T 01020,1490,82991,66572,88917,1996,71289,1463
Pic Mobert North (3558060) IRI 00000,0,0,0,0,0,0,0
Pic Mobert South (3558061) IRI 01010,0,0,0,0,0,0,0
Pic River 50 (3558062) IRI 01010,125,42368,41131,52814,0,49261,0
Pays Plat 51 (3558063) IRI 01020,0,0,0,0,0,0,0
Lake Helen 53A (3558064) IRI 01010,100,36651,34112,41546,0,38350,0
Manitouwadge (3558066) TP 00000,955,78894,64466,78907,3224,63354,2292
Ginoogaming First Nation (3558067) IRI 00000,0,0,0,0,0,0,0
Long Lake 58 (3558068) IRI 00000,105,30656,30208,37129,0,35637,0
Rocky Bay 1 (3558069) IRI 01010,0,0,0,0,0,0,0
Greenstone (3558075) MU 01220,1985,64153,55530,73404,2507,60619,1639
Aroland 83 (3558076) IRI 00000,90,28352,28352,37007,0,34946,0
Osnaburgh 63A (3558085) IRI 00000,0,0,0,0,0,0,0
"Thunder Bay, Unorganized (3558090) NO 01010",2700,59153,50679,65983,1260,55129,885
Whitesand (3558097) IRI 01010,0,0,0,0,0,0,0
Rainy River (3559)   00010,8590,51476,45286,62023,951,52640,686
Atikokan (3559001) TP 00010,1420,48119,41687,66344,4907,54642,3253
Alberton (3559011) TP 00000,340,70269,60217,82371,5127,68790,4081
Fort Frances (3559012) T 01010,3445,54859,48305,63556,1589,53639,1234
La Vallee (3559016) TP 00000,365,76811,61389,69970,3754,59605,3049
Emo (3559019) TP 00000,530,46440,41980,58888,4358,49734,3218
Chapple (3559024) TP 00000,300,39593,38174,50563,4811,45313,4087
Manitou Rapids 11 (3559026) IRI 01010,0,0,0,0,0,0,0
Morley (3559031) TP 00001,180,54849,46952,61006,5375,52253,4378
Dawson (3559040) TP 01000,245,47175,40872,52314,4394,44773,3389
Rainy River (3559042) T 00000,410,49117,45372,54140,4646,46614,3351
Lake of the Woods (3559047) TP 00000,125,44012,34924,51545,4505,44412,3433
Big Grassy River 35G (3559051) IRI 02020,0,0,0,0,0,0,0
Saug-a-Gaw-Sing 1 (3559053) IRI 00000,0,0,0,0,0,0,0
Neguaguon Lake 25D (3559060) IRI 01010,75,40896,40896,45596,0,44687,0
Rainy Lake 18C (3559061) IRI 02020,0,0,0,0,0,0,0
Couchiching 16A (3559063) IRI 01010,235,39296,37504,44372,0,42062,0
Rainy Lake 26A (3559064) IRI 00000,0,0,0,0,0,0,0
Seine River 23A (3559066) IRI 01000,70,33408,33408,34311,0,33312,0
Rainy Lake 17A (3559068) IRI 00000,0,0,0,0,0,0,0
"Rainy River, Unorganized (3559090) NO 01011",565,58888,50073,69997,1449,58348,1041
Kenora (3560)   22020,23020,52750,46890,63297,376,53872,279
Ignace (3560001) TP 00010,590,57250,49610,59904,2893,50897,2242
Whitefish Bay 32A (3560004) IRI 01020,165,25376,25376,28812,0,28645,0
Whitefish Bay 33A (3560005) IRI 02020,0,0,0,0,0,0,0
Sioux Narrows - Nestor Falls (3560008) TP 01000,275,52888,45720,59847,1793,51626,1365
Kenora (3560010) CY 01010,6250,59946,50426,67773,1181,56794,877
Machin (3560021) TP 02020,405,55616,48171,62525,0,52935,0
Eagle Lake 27 (3560024) IRI 00000,0,0,0,0,0,0,0
Dryden (3560027) CY 00000,3280,64237,54413,72443,1790,59641,1318
Ear Falls (3560032) TP 01010,470,70293,61016,77387,4007,64231,3068
Sioux Lookout (3560034) MU 00010,1925,71289,61036,79374,1966,66344,1457
Red Lake (3560042) MU 01020,1750,74694,63085,83025,3026,68109,2033
Slate Falls (3560046) S-É 02020,0,0,0,0,0,0,0
Pickle Lake (3560049) TP 01010,180,43499,43499,66118,8206,56285,6414
Marten Falls 65 (3560052) IRI 01010,0,0,0,0,0,0,0
Fort Hope 64 (3560053) IRI 02020,270,24128,24128,29191,0,29141,0
Cat Lake 63C (3560054) IRI 01010,110,30784,30784,33220,0,32465,0
Osnaburgh 63B (3560055) IRI 01010,80,25536,25536,28770,0,28703,0
Lac Seul 28 (3560056) IRI 02020,225,34176,34091,41143,0,40073,0
Wabigoon Lake 27 (3560057) IRI 01010,0,0,0,0,0,0,0
English River 21 (3560058) IRI 01010,185,17824,17824,25580,0,25422,0
Weagamow Lake 87 (3560059) IRI 02020,220,32384,32384,37565,0,36976,0
Wabaseemoong (3560061) IRI 02020,205,28416,28160,32984,0,32433,0
Sabaskong Bay 35D (3560063) IRI 01010,105,33152,33152,36223,0,35990,0
Shoal Lake 34B2 (3560064) IRI 02020,0,0,0,0,0,0,0
Lake Of The Woods 37 (3560065) IRI 00010,0,0,0,0,0,0,0
Kenora 38B (3560066) IRI 02020,100,22592,22592,29971,0,29140,0
Poplar Hill (3560067) IRI 00000,110,23616,23616,30635,0,29691,0
Shoal Lake (Part) 39A (3560068) IRI 01010,125,27584,27584,29430,0,28979,0
Deer Lake (3560070) IRI 02020,185,26880,26880,31634,0,31410,0
Sandy Lake 88 (3560071) IRI 01010,460,30805,30805,36953,0,36764,0
Kitchenuhmaykoosib Aaki 84 (Big Trout Lake) (3560075) IRI 02020,275,28000,28000,33840,0,33432,0
Sachigo Lake 1 (3560076) IRI 02020,115,37845,37760,37562,0,37470,0
Webequie (3560079) IRI 01011,140,32576,32576,37072,0,37069,0
North Spirit Lake (3560080) IRI 01010,65,36672,36672,37679,0,37000,0
Shoal Lake (Part) 40 (3560082) IRI 02020,0,0,0,0,0,0,0
Whitefish Bay 34A (3560083) IRI 02020,0,0,0,0,0,0,0
Wabauskang 21 (3560084) IRI 01010,0,0,0,0,0,0,0
Wunnumin 1 (3560085) IRI 00010,130,32000,32000,38209,0,37915,0
Summer Beaver (3560086) S-É 02020,100,31232,31232,34413,0,33604,0
Wapekeka 2 (3560088) IRI 00000,100,19008,19008,25219,0,25004,0
The Dalles 38C (3560089) IRI 02020,0,0,0,0,0,0,0
"Kenora, Unorganized (3560090) NO 01021",2800,60089,52417,71560,892,59547,658
Peawanuck (3560091) S-É 02020,0,0,0,0,0,0,0
Neskantaga (3560093) IRI 02020,75,36949,36949,39377,0,38566,0
Bearskin Lake (3560095) IRI 02020,125,36224,36224,42843,0,42338,0
Kasabonika Lake (3560096) IRI 00000,155,30080,30080,33046,0,32967,0
Muskrat Dam Lake (3560097) IRI 01010,75,40064,40064,41747,0,41558,0
Kingfisher Lake 1 (3560098) IRI 01020,105,35840,35840,39340,0,39324,0
Kee-Way-Win (3560104) IRI 00000,75,36160,35456,40828,0,40745,0
Manitoba (46)   00010,448780,47875,41844,60242,186,49954,126
Division No. 1 (4601)   01010,7350,44662,39925,55532,1555,46294,1010
Stuartburn (4601035) RM 01010,645,32499,30213,38514,2341,34443,1870
Piney (4601039) RM 01010,725,37922,33130,45047,2959,39128,2082
Reynolds (4601043) RM 01000,580,41409,37156,46049,2638,39560,2100
Whitemouth (4601046) RM 00000,550,38461,35608,49789,3596,42942,2732
Pinawa (4601051) LGD 00010,630,54537,45854,56695,2377,47067,1808
Lac du Bonnet (4601057) RM 02010,1165,50547,42833,59115,2161,48948,1602
Lac du Bonnet (4601060) T 00000,480,34888,33199,43571,2951,37769,2268
Buffalo Point 36 (4601070) IRI 01010,0,0,0,0,0,0,0
Alexander (4601071) RM 01010,1295,46082,40134,58045,2700,48906,2281
Powerview-Pine Falls (4601075) T 00001,530,59874,50663,62173,3431,51165,2607
Victoria Beach (4601078) RM 02010,205,40202,31044,115357,53287,77530,29636
"Division No. 1, Unorganized (4601094) NO 02010",470,60750,51894,74915,5488,60531,3663
Division No. 2 (4602)   00000,18400,52462,46135,61057,696,51907,537
Franklin (4602025) RM 00000,620,41181,39510,49622,2819,42778,2217
Roseau Rapids 2A (4602026) IRI 00000,0,0,0,0,0,0,0
Roseau River 2 (4602027) IRI 00000,155,21632,21632,27047,0,26915,0
De Salaberry (4602032) RM 00000,1020,45993,41056,57330,3829,50088,3510
St-Pierre-Jolys (4602037) VL 00000,340,43776,37184,47493,3999,41765,3206
Hanover (4602041) RM 00000,3360,53053,46853,60301,1637,52107,1254
Steinbach (4602044) CY 00000,4245,44486,40000,55303,1634,47259,1202
Niverville (4602046) T 00000,825,55401,47659,62181,2684,52437,1942
La Broquerie (4602053) RM 00000,1135,48515,43154,57681,2949,49712,2353
Ste. Anne (4602057) RM 00000,1565,51892,45940,57177,1733,49147,1349
Ste. Anne (4602061) T 00000,495,55846,47789,60916,3114,51367,2423
Taché (4602069) RM 00000,2900,64834,55044,70269,1597,58583,1264
Ritchot (4602075) RM 00000,1705,71650,59854,79440,2675,64893,1912
Division No. 3 (4603)   00000,15710,44598,40451,53035,706,45824,518
Montcalm (4603030) RM 00010,480,53314,46705,57539,3591,49151,2765
Emerson (4603033) T 00010,310,39132,34543,63741,11292,49330,6507
Rhineland (4603036) RM 00000,1075,48807,44530,57923,2616,50475,1856
Gretna (4603038) T 01010,195,46922,43848,51595,4339,45081,3520
Altona (4603040) T 00000,1520,43968,38808,53180,2159,45660,1607
Plum Coulee (4603042) T 00010,250,42736,38495,46820,3338,41829,2842
Stanley (4603047) RM 00001,1615,51784,45399,57438,1645,50318,1290
Winkler (4603050) CY 00000,3285,41165,38151,49564,1256,43587,999
Morden (4603053) T 00001,2695,42395,37622,51735,1579,44617,1277
Thompson (4603058) RM 00000,395,34207,31692,49608,4205,42630,3366
Roland (4603062) RM 01010,340,46779,42052,48851,3591,42914,2753
Morris (4603065) RM 00000,875,46687,40985,58379,5346,48990,3419
Morris (4603067) T 00000,655,41881,37795,50928,2844,43614,2250
Dufferin (4603072) RM 01000,700,53295,49465,63215,3758,53962,2731
Carman (4603074) T 01000,1325,38497,36200,46282,1849,40019,1462
Division No. 4 (4604)   00000,3475,35448,32818,45376,1216,39147,916
Pembina (4604033) RM 00010,585,33898,32237,44820,4071,38468,2861
Manitou (4604035) T 00000,335,34580,31846,49594,4199,42490,3217
Louise (4604039) RM 00010,295,37230,34971,44793,3672,39659,3021
Pilot Mound (4604044) T 01010,290,37134,31198,48107,4163,39864,3056
Crystal City (4604046) VL 00000,195,32369,32265,45695,4143,38511,2976
Roblin (4604051) RM 00000,245,50356,44130,50811,6113,41914,4678
Cartwright (4604053) VL 01000,140,35171,32178,37888,4041,33823,3395
Argyle (4604057) RM 00000,415,29050,28028,39079,2881,35007,2386
Lorne (4604063) RM 00000,650,40939,37552,50020,3490,42962,2632
Somerset (4604066) VL 00000,195,43458,38082,47235,3894,41407,3008
Swan Lake 7 (4604068) IRI 01010,120,17856,17856,21957,0,21782,0
Division No. 5 (4605)   01010,5460,39762,36339,49057,1282,42076,885
Turtle Mountain (4605024) RM 01010,375,46283,41755,57573,4326,49865,3535
Killarney (4605027) T 00000,995,37747,34720,43054,1925,38030,1517
Morton (4605031) RM 00010,250,54605,46131,67050,14743,53953,8453
Boissevain (4605033) T 00000,640,39925,36243,50236,5088,42099,3193
Winchester (4605037) RM 02020,235,37252,31988,44433,3646,35764,2422
Deloraine (4605039) T 01010,475,33024,30537,49118,3444,41421,2477
Brenda (4605043) RM 01010,210,37616,35221,42677,3928,38173,3124
Waskada (4605047) VL 02000,0,0,0,0,0,0,0
Arthur (4605050) RM 00010,165,44963,39826,57035,7403,48803,5535
Melita (4605052) T 01000,480,36796,35776,43839,2546,38133,1981
Edward (4605055) RM 00000,265,42486,41437,64606,7559,55502,5980
Albert (4605058) RM 01020,140,30392,29026,45399,5267,39113,3986
Cameron (4605061) RM 00000,130,47647,39189,43407,4285,38198,3807
Hartney (4605063) T 00000,180,32170,29154,40667,4214,35348,3258
Whitewater (4605067) RM 00000,210,41506,36566,51648,4177,44456,3310
Riverside (4605070) RM 01010,270,46550,44583,53441,3766,46491,3146
Strathcona (4605076) RM 02010,335,33384,33128,41266,3948,36295,3062
Division No. 6 (4606)   00020,3875,37710,34657,46390,882,40197,684
Sifton (4606015) RM 01010,330,32523,28990,38384,2724,34476,2212
Oak Lake (4606018) T 01010,155,29512,27356,34103,3238,31416,2772
Pipestone (4606023) RM 00000,580,41489,37912,51325,3637,44000,2811
Wallace (4606028) RM 00000,485,44467,39360,49639,2885,42879,2287
Canupawakpa Dakota First Nation (Oak Lake 59) (4606029) IRI 01020,100,15968,15968,27557,0,27091,0
Elkhorn (4606030) VL 00000,210,31522,27348,37275,3745,32794,2967
Virden (4606034) T 00000,1335,46604,39961,53247,2025,44527,1480
Woodworth (4606037) RM 00000,335,47532,41644,51183,3462,45167,2785
